image_id,eo_img,sar_img,label,partition
432192,train3/7/EO_432192.png,train3/7/SAR_432192.png,7,train
56011,train3/2/EO_56011.png,train3/2/SAR_56011.png,2,train
172676,train3/5/EO_172676.png,train3/5/SAR_172676.png,5,train
78915,train3/9/EO_78915.png,train3/9/SAR_78915.png,9,train
19355,train3/2/EO_19355.png,train3/2/SAR_19355.png,2,train
396293,train3/0/EO_396293.png,train3/0/SAR_396293.png,0,train
31708,train3/9/EO_31708.png,train3/9/SAR_31708.png,9,train
324338,train3/9/EO_324338.png,train3/9/SAR_324338.png,9,train
297687,train3/0/EO_297687.png,train3/0/SAR_297687.png,0,train
115128,train3/4/EO_115128.png,train3/4/SAR_115128.png,4,train
457315,train3/4/EO_457315.png,train3/4/SAR_457315.png,4,train
341179,train3/1/EO_341179.png,train3/1/SAR_341179.png,1,train
370758,train3/9/EO_370758.png,train3/9/SAR_370758.png,9,train
383062,train3/1/EO_383062.png,train3/1/SAR_383062.png,1,train
333962,train3/7/EO_333962.png,train3/7/SAR_333962.png,7,train
76322,train3/5/EO_76322.png,train3/5/SAR_76322.png,5,train
303231,train3/1/EO_303231.png,train3/1/SAR_303231.png,1,train
345400,train3/1/EO_345400.png,train3/1/SAR_345400.png,1,train
178373,train3/9/EO_178373.png,train3/9/SAR_178373.png,9,train
376494,train3/3/EO_376494.png,train3/3/SAR_376494.png,3,train
270480,train3/7/EO_270480.png,train3/7/SAR_270480.png,7,train
184028,train3/4/EO_184028.png,train3/4/SAR_184028.png,4,train
252693,train3/8/EO_252693.png,train3/8/SAR_252693.png,8,train
372985,train3/7/EO_372985.png,train3/7/SAR_372985.png,7,train
132609,train3/9/EO_132609.png,train3/9/SAR_132609.png,9,train
391594,train3/3/EO_391594.png,train3/3/SAR_391594.png,3,train
119714,train3/6/EO_119714.png,train3/6/SAR_119714.png,6,train
339472,train3/3/EO_339472.png,train3/3/SAR_339472.png,3,train
96646,train3/9/EO_96646.png,train3/9/SAR_96646.png,9,train
59282,train3/2/EO_59282.png,train3/2/SAR_59282.png,2,train
359302,train3/3/EO_359302.png,train3/3/SAR_359302.png,3,train
329931,train3/5/EO_329931.png,train3/5/SAR_329931.png,5,train
167159,train3/0/EO_167159.png,train3/0/SAR_167159.png,0,train
398374,train3/8/EO_398374.png,train3/8/SAR_398374.png,8,train
89367,train3/6/EO_89367.png,train3/6/SAR_89367.png,6,train
471087,train3/7/EO_471087.png,train3/7/SAR_471087.png,7,train
141170,train3/9/EO_141170.png,train3/9/SAR_141170.png,9,train
361877,train3/1/EO_361877.png,train3/1/SAR_361877.png,1,train
63364,train3/6/EO_63364.png,train3/6/SAR_63364.png,6,train
88297,train3/1/EO_88297.png,train3/1/SAR_88297.png,1,train
81847,train3/5/EO_81847.png,train3/5/SAR_81847.png,5,train
106312,train3/6/EO_106312.png,train3/6/SAR_106312.png,6,train
453119,train3/5/EO_453119.png,train3/5/SAR_453119.png,5,train
472772,train3/7/EO_472772.png,train3/7/SAR_472772.png,7,train
431630,train3/6/EO_431630.png,train3/6/SAR_431630.png,6,train
171361,train3/2/EO_171361.png,train3/2/SAR_171361.png,2,train
96072,train3/0/EO_96072.png,train3/0/SAR_96072.png,0,train
110005,train3/7/EO_110005.png,train3/7/SAR_110005.png,7,train
96267,train3/1/EO_96267.png,train3/1/SAR_96267.png,1,train
261813,train3/3/EO_261813.png,train3/3/SAR_261813.png,3,train
244068,train3/7/EO_244068.png,train3/7/SAR_244068.png,7,train
176729,train3/4/EO_176729.png,train3/4/SAR_176729.png,4,train
259514,train3/9/EO_259514.png,train3/9/SAR_259514.png,9,train
463348,train3/3/EO_463348.png,train3/3/SAR_463348.png,3,train
190465,train3/7/EO_190465.png,train3/7/SAR_190465.png,7,train
260484,train3/9/EO_260484.png,train3/9/SAR_260484.png,9,train
63888,train3/0/EO_63888.png,train3/0/SAR_63888.png,0,train
177533,train3/7/EO_177533.png,train3/7/SAR_177533.png,7,train
428430,train3/5/EO_428430.png,train3/5/SAR_428430.png,5,train
84259,train3/3/EO_84259.png,train3/3/SAR_84259.png,3,train
386990,train3/3/EO_386990.png,train3/3/SAR_386990.png,3,train
385914,train3/2/EO_385914.png,train3/2/SAR_385914.png,2,train
368586,train3/8/EO_368586.png,train3/8/SAR_368586.png,8,train
178741,train3/0/EO_178741.png,train3/0/SAR_178741.png,0,train
141335,train3/3/EO_141335.png,train3/3/SAR_141335.png,3,train
114771,train3/1/EO_114771.png,train3/1/SAR_114771.png,1,train
8237,train3/3/EO_8237.png,train3/3/SAR_8237.png,3,train
439330,train3/2/EO_439330.png,train3/2/SAR_439330.png,2,train
267034,train3/4/EO_267034.png,train3/4/SAR_267034.png,4,train
275365,train3/0/EO_275365.png,train3/0/SAR_275365.png,0,train
428184,train3/9/EO_428184.png,train3/9/SAR_428184.png,9,train
149532,train3/2/EO_149532.png,train3/2/SAR_149532.png,2,train
436135,train3/1/EO_436135.png,train3/1/SAR_436135.png,1,train
432047,train3/9/EO_432047.png,train3/9/SAR_432047.png,9,train
76480,train3/3/EO_76480.png,train3/3/SAR_76480.png,3,train
132939,train3/0/EO_132939.png,train3/0/SAR_132939.png,0,train
443982,train3/2/EO_443982.png,train3/2/SAR_443982.png,2,train
85047,train3/3/EO_85047.png,train3/3/SAR_85047.png,3,train
375063,train3/3/EO_375063.png,train3/3/SAR_375063.png,3,train
60421,train3/6/EO_60421.png,train3/6/SAR_60421.png,6,train
267272,train3/6/EO_267272.png,train3/6/SAR_267272.png,6,train
410671,train3/6/EO_410671.png,train3/6/SAR_410671.png,6,train
176621,train3/5/EO_176621.png,train3/5/SAR_176621.png,5,train
119413,train3/2/EO_119413.png,train3/2/SAR_119413.png,2,train
461891,train3/0/EO_461891.png,train3/0/SAR_461891.png,0,train
202118,train3/2/EO_202118.png,train3/2/SAR_202118.png,2,train
281983,train3/6/EO_281983.png,train3/6/SAR_281983.png,6,train
56862,train3/8/EO_56862.png,train3/8/SAR_56862.png,8,train
371607,train3/2/EO_371607.png,train3/2/SAR_371607.png,2,train
316844,train3/4/EO_316844.png,train3/4/SAR_316844.png,4,train
96272,train3/5/EO_96272.png,train3/5/SAR_96272.png,5,train
193795,train3/0/EO_193795.png,train3/0/SAR_193795.png,0,train
267922,train3/3/EO_267922.png,train3/3/SAR_267922.png,3,train
411352,train3/5/EO_411352.png,train3/5/SAR_411352.png,5,train
389403,train3/2/EO_389403.png,train3/2/SAR_389403.png,2,train
133644,train3/4/EO_133644.png,train3/4/SAR_133644.png,4,train
132133,train3/7/EO_132133.png,train3/7/SAR_132133.png,7,train
203422,train3/7/EO_203422.png,train3/7/SAR_203422.png,7,train
13583,train3/1/EO_13583.png,train3/1/SAR_13583.png,1,train
153913,train3/9/EO_153913.png,train3/9/SAR_153913.png,9,train
320424,train3/0/EO_320424.png,train3/0/SAR_320424.png,0,train
423714,train3/7/EO_423714.png,train3/7/SAR_423714.png,7,train
174378,train3/3/EO_174378.png,train3/3/SAR_174378.png,3,train
19102,train3/9/EO_19102.png,train3/9/SAR_19102.png,9,train
200112,train3/9/EO_200112.png,train3/9/SAR_200112.png,9,train
262830,train3/3/EO_262830.png,train3/3/SAR_262830.png,3,train
83280,train3/8/EO_83280.png,train3/8/SAR_83280.png,8,train
53367,train3/0/EO_53367.png,train3/0/SAR_53367.png,0,train
41798,train3/4/EO_41798.png,train3/4/SAR_41798.png,4,train
249776,train3/9/EO_249776.png,train3/9/SAR_249776.png,9,train
133579,train3/6/EO_133579.png,train3/6/SAR_133579.png,6,train
309552,train3/4/EO_309552.png,train3/4/SAR_309552.png,4,train
164288,train3/1/EO_164288.png,train3/1/SAR_164288.png,1,train
300521,train3/8/EO_300521.png,train3/8/SAR_300521.png,8,train
78152,train3/2/EO_78152.png,train3/2/SAR_78152.png,2,train
267780,train3/0/EO_267780.png,train3/0/SAR_267780.png,0,train
391321,train3/7/EO_391321.png,train3/7/SAR_391321.png,7,train
11081,train3/8/EO_11081.png,train3/8/SAR_11081.png,8,train
162633,train3/8/EO_162633.png,train3/8/SAR_162633.png,8,train
143065,train3/6/EO_143065.png,train3/6/SAR_143065.png,6,train
396395,train3/3/EO_396395.png,train3/3/SAR_396395.png,3,train
358510,train3/5/EO_358510.png,train3/5/SAR_358510.png,5,train
253042,train3/4/EO_253042.png,train3/4/SAR_253042.png,4,train
470615,train3/8/EO_470615.png,train3/8/SAR_470615.png,8,train
